,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
23,12.62,9.46,5.55,5.83,4.02,2.84,10.44,3.58,5.08,6.82,9.64,8.51,7.54,16.79,12.81,13.57,9.36,4.74,8.55,7.73,2.1,2.34,0.0,7.36,11.86,8.4,3.28,7.57,8.84,12.79,2.41,2.85,8.39,9.57,8.01,9.61,11.15,7.52,4.79,2.77,7.27,12.48,11.25,14.73,16.57,16.12,4.54,9.65,7.69,8.24,6.47,6.27,5.07,3.71,4.7,10.81,10.63,4.53,9.18,16.89
24,6.66,9.72,5.28,2.6,7.6,6.16,3.8,9.16,9.91,6.76,5.94,5.5,6.56,10.4,6.85,6.94,2.72,3.6,2.3,7.64,8.07,7.8,6.14,0.0,5.22,9.46,8.86,6.81,6.39,6.15,6.71,6.33,6.54,5.22,0.66,2.97,5.33,4.74,8.4,6.49,8.24,12.74,11.51,8.36,11.1,9.49,4.21,5.07,7.9,7.78,6.42,5.18,5.76,6.74,7.72,4.17,4.38,6.8,6.03,12.8
25,2.79,9.63,7.06,7.88,12.03,10.94,2.94,11.7,12.49,6.66,4.09,4.75,5.55,5.31,2.99,1.85,4.25,8.88,5.34,7.55,10.74,11.13,10.76,5.28,0.0,9.81,11.4,5.68,5.3,1.06,9.76,9.38,5.65,4.38,4.98,2.31,1.46,5.68,10.51,11.08,8.6,12.65,11.42,3.27,6.01,4.4,9.49,2.97,7.81,7.32,6.33,7.93,7.54,11.36,12.34,2.82,7.38,11.42,4.6,7.71
26,10.57,3.69,4.73,10.08,9.29,7.38,9.56,6.96,5.81,3.54,7.16,6.11,5.11,14.32,10.18,11.88,10.2,9.32,11.39,4.05,7.92,7.58,10.95,9.52,10.74,0.0,6.56,5.29,6.36,11.71,5.97,5.65,5.41,7.48,9.76,11.12,9.34,5.43,3.82,7.52,1.92,6.71,5.48,12.26,13.77,13.71,8.52,7.85,2.63,4.66,4.29,5.57,4.86,9.68,10.67,12.21,13.48,10.5,6.71,14.08
27,12.63,9.54,5.56,8.07,5.04,5.1,11.38,0.95,2.98,7.13,10.46,9.36,8.38,17.64,12.83,14.38,10.68,7.31,10.7,8.04,3.68,4.33,7.36,9.52,12.63,6.55,0.0,8.41,9.68,13.6,2.74,3.18,9.23,9.59,10.04,11.76,11.17,8.36,2.95,5.03,5.43,12.56,11.34,15.58,17.42,16.79,6.52,9.66,7.78,8.55,7.31,6.6,5.09,6.35,6.97,12.96,12.78,7.72,10.02,17.73
28,5.54,4.58,3.44,7.06,6.98,6.06,4.53,6.65,7.44,1.61,2.8,0.94,1.38,10.1,5.39,7.46,5.17,8.0,6.63,2.5,5.69,6.25,9.3,6.17,5.71,4.76,6.34,0.0,2.61,6.68,4.71,4.33,2.22,2.45,6.3,6.09,4.3,1.44,5.46,6.2,3.55,7.6,6.37,8.04,10.97,9.5,7.2,2.81,2.75,2.68,1.28,4.28,3.54,8.29,8.91,7.18,8.99,9.18,2.96,12.48
29,4.87,6.05,4.91,7.38,8.45,7.53,3.78,8.12,8.91,3.09,1.29,1.85,1.97,8.44,4.31,6.0,4.8,8.39,6.3,3.97,7.16,7.73,10.77,6.26,5.01,6.24,7.82,2.11,0.0,5.92,6.18,5.8,2.08,2.0,5.97,5.34,3.56,2.92,6.93,7.67,5.02,9.07,7.84,6.38,9.31,7.84,8.61,2.06,4.23,3.74,2.75,5.75,5.01,9.76,10.39,6.48,8.65,10.65,0.93,10.82
30,2.17,10.53,8.12,8.81,12.93,11.99,3.99,12.6,13.4,7.57,4.81,5.78,6.45,4.65,2.88,1.15,5.3,9.8,6.26,8.45,11.64,12.19,11.69,6.2,1.17,10.72,12.3,6.59,6.17,0.0,10.66,10.28,6.56,5.44,5.91,3.24,2.52,6.73,11.41,12.04,9.5,13.55,12.32,2.58,5.5,4.06,10.42,4.02,8.71,8.22,7.23,8.98,8.59,12.29,13.27,3.75,8.3,12.35,5.42,7.01
31,10.2,7.05,3.14,5.46,3.32,2.76,8.96,2.46,3.88,4.82,8.04,7.12,6.14,15.22,10.4,11.96,8.04,4.7,8.8,5.73,1.95,2.61,5.63,7.15,10.2,5.98,2.15,6.17,7.44,11.17,0.0,0.44,6.98,7.16,7.39,9.36,8.74,6.12,2.38,2.9,4.86,10.07,8.84,13.15,15.47,14.36,3.9,7.24,5.28,6.24,5.07,3.86,2.66,4.63,5.25,10.56,10.88,5.88,7.78,15.78
32,9.77,6.61,2.7,5.02,3.7,2.33,8.52,2.84,3.8,5.2,7.6,7.08,6.11,14.78,9.97,11.52,7.6,4.26,8.36,6.11,2.34,2.52,5.9,6.72,9.77,5.73,2.53,6.14,7.4,10.74,0.38,0.0,6.96,6.73,6.96,8.92,8.31,6.04,2.29,2.47,4.51,9.63,8.41,12.72,15.42,13.93,3.47,6.8,4.85,6.62,5.04,3.43,2.23,4.63,5.61,10.12,10.44,5.44,7.69,15.74
